gene_symbol,importance
Pappa,1.6565391e-06
Nfib,0.22154625
Frem1,-5.2744235e-06
Adamtsl1,0.16267914
Nfia,0.18726578
Ror1,0.06503924
Lepr,-0.00023869357
Rab3b,0.081227995
Trabd2b,-2.8716102e-05
Tal1,6.2818915e-05
6430628N08Rik,0.00011127516
Pou3f1,7.214932e-05
Epha10,0.0726124
Rspo1,-7.762592e-05
Grik3,0.1614155
2610028E06Rik,0.00017586672
Clspn,-5.949842e-05
Marcksl1,0.21960214
Hcrtr1,-0.0001986991
Serinc2,0.00014295502
Ptpru,0.07760576
Oprd1,-0.00019500825
Smpdl3b,-0.00013571515
Htr1d,-5.2372823e-05
Epha8,3.6012352e-05
Wnt4,0.05310361
Vwa5b1,0.00019369379
Pla2g5,0.00020456241
Nbl1,0.07352196
Akr7a5,-4.8878355e-05
Padi2,0.00014407438
Lrrc38,2.4011562e-05
Tnfrsf8,-0.00013455377
Casz1,-0.00010039749
Trp73,-9.275521e-05
Prdm16,0.00032239693
Mmel1,0.042047985
Grm3,0.20907755
Sema3d,1.2791383e-05
Sema3e,0.07861055
Hgf,8.957031e-05
Sema3c,0.07796118
Cd36,2.6608323e-05
Reln,0.09781654
Otof,0.05912515
Slc30a3,0.06512599
Trim54,3.762063e-06
Fosl2,0.08259792
Rgs12,0.066830315
Stk32b,-0.0001155819
Drd5,-0.000108533306
C1qtnf7,3.449845e-05
Prom1,6.379103e-05
Ldb2,0.17807397
Slit2,0.18409576
Nwd2,0.13422939
Kctd8,0.06289848
Corin,0.00010879883
Slc10a4,-9.54266e-05
Cwh43,0.0002033186
Kit,0.04060467
Hopx,-4.327093e-05
Npffr2,-0.00016583553
Cxcl5,-0.00019283117
Parm1,0.15742609
Shroom3,-6.30429e-05
Fras1,0.09892502
4930467D21Rik,0.0001895401
Antxr2,-2.4758163e-05
Prdm8,0.045665044
Bmp3,0.047912154
Prkg2,0.049702052
Hpse,-0.00012233024
Spp1,-0.00011623622
Barhl2,0.00014516745
Ung,8.228829e-05
Hspb8,-0.000118936485
Hrk,0.10241186
Cux2,0.112518735
Tmem132c,5.5361365e-05
Adgrd1,-0.00019837126
Caln1,0.1528729
Col26a1,-0.00026702377
Vgf,0.16389644
Zan,-0.000119823
Elfn1,0.040713854
Grid2ip,-3.8535174e-05
Nptx2,0.068518795
Medag,-0.00016234905
Rxfp2,8.441799e-05
Kl,-1.099096e-05
Calcr,-0.0001404917
Asb4,-4.9855837e-05
Slc25a13,-0.00013294225
Dlx6os1,0.063997656
Dlx6,0.000119297634
Nxph1,0.104348056
Mdfic,2.8058363e-05
Met,-3.343325e-05
Cftr,6.3079584e-05
Grm8,0.21566755
9330158H04Rik,-0.00015429134
Chrm2,0.11938688
Tmem176b,0.037158642
Tmem176a,9.7472206e-05
Stk31,-0.00015111528
Osbpl3,0.060075644
Creb5,-7.599208e-05
Chn2,0.14856479
Crhr2,1.35229275e-05
Neurod6,0.055354077
Ppp1r17,-0.00012534003
Ndnf,-5.507168e-05
Tacr1,0.050839618
Cyp26b1,-0.00018366154
Arhgap25,-0.000116237454
Aldh1l1,-0.00023791888
Fbln2,-1.0264048e-05
Wnt7a,-2.4188586e-05
Fgd5,0.0002595204
Trh,0.00029616285
Adamts9,8.6215834e-05
Tafa1,0.1629338
Tafa4,-5.457121e-06
Gxylt2,-5.0291797e-05
Pdzrn3,0.0743572
Lmcd1,-0.00011157401
Oxtr,0.038734682
Cpne9,-0.00015404007
Hrh1,0.020712713
Pparg,0.041694414
Ret,0.00014930173
A2m,1.6872422e-05
Gnb3,0.00018295614
Scnn1a,-0.00014218586
Ano2,-1.8114839e-05
Ntf3,-7.681199e-05
Ccnd2,0.18482101
Styk1,0.00017944194
Apold1,-0.00016141952
Pde3a,0.00010989547
Slco1c1,0.04740003
Sox5,0.17681684
Pthlh,0.00029205298
Tnnt1,-6.196746e-05
Zim1,0.028427957
Npas1,-7.7719174e-05
Gng8,0.00025715632
Gpr4,-1.3978279e-05
Fosb,0.060564622
Ethe1,8.678326e-05
Cd79a,6.445551e-05
D930028M14Rik,7.510385e-05
Pafah1b3,-2.294276e-05
B9d2,0.00019870722
Timm50,-9.038653e-06
Nfkbib,1.9118943e-06
Yif1b,0.00013817623
Slc7a10,9.227778e-05
Tshz3,0.09978677
Zfp536,0.08385956
Klk8,-5.919324e-05
Slc17a7,0.17829828
Dkkl1,3.208722e-05
